dbn,lat,long,2007type,2007enrollment,2007pi,2007overall,2007progress,2007performance,2007environment,2008type,2008enrollment,2008pi,2008overall,2008progress,2008performance,2008environment,2009type,2009enrollment,2009pi,2009overall,2009progress,2009performance,2009environment,2010type,2010enrollment,2010pi,2010overall,2010progress,2010performance,2010environment,2011type,2011enrollment,2011pi,2011overall,2011progress,2011performance,2011environment
10X437,40.859466,-73.888625,HS,457,7.951070336,21.18644068,23.85321101,8.898305085,22.32415902,HS,420,8.169014085,48.5915493,70.42253521,38.73239437,9.154929577,HS,389,8.421052632,88.06451613,93.5483871,53.5483871,47.74193548,HS,371,18.7804878,87.65060241,88.85542169,73.19277108,85.24096386,HS,371,13.88235294,86.74698795,67.77108434,96.08433735,89.15662651
10X430,40.8703,-73.8983,,,,,,,,HS,424,,,,,,,,,,,,,,,,,,,,,,,,,,
10X433,40.869061,-73.897066,HS,533,25.382263,59.74576271,46.78899083,84.74576271,11.9266055,HS,519,27.88732394,30.63380282,27.46478873,43.66197183,30.63380282,HS,517,27.10526316,19.35483871,27.74193548,11.61290323,40.64516129,HS,484,15.12195122,79.81927711,72.28915663,51.80722892,69.57831325,HS,465,17.64705882,66.56626506,80.72289157,45.78313253,67.1686747
22K193,40.62208,-73.950321,Elementary,870,65.29209622,82.75862069,67.01030928,82.3024055,77.49140893,Elementary,846,65.70458404,90.42735043,79.65811966,91.62393162,66.4957265,Elementary,786,65.88628763,47.12837838,27.02702703,85.30405405,67.22972973,Elementary,814,65.99664992,60.67226891,48.06722689,87.73109244,63.52941176,Elementary,846,66.33499171,34.73154362,25.16778523,75.5033557,56.37583893
10X438,40.859466,-73.888625,HS,575,9.480122324,21.61016949,36.69724771,24.15254237,13.45565749,HS,538,11.26760563,12.32394366,10.56338028,14.78873239,36.97183099,HS,522,11.31578947,35.48387097,49.35483871,19.35483871,39.35483871,HS,495,21.46341463,13.85542169,26.20481928,4.819277108,16.86746988,HS,463,17.88235294,5.421686747,15.96385542,2.409638554,6.325301205
10X439,40.859466,-73.888625,HS,476,13.45565749,7.203389831,3.975535168,19.91525424,36.08562691,HS,425,13.23943662,18.66197183,20.77464789,18.66197183,57.3943662,HS,440,12.89473684,21.93548387,9.032258065,31.93548387,60.96774194,HS,451,10.73170732,4.518072289,4.21686747,10.24096386,50.90361446,HS,419,15.76470588,37.34939759,37.95180723,26.20481928,29.51807229
22K197,40.612339,-73.951398,Elementary,438,73.19587629,25.86206897,16.15120275,58.41924399,73.88316151,Elementary,474,68.08149406,98.8034188,97.77777778,87.00854701,83.41880342,Elementary,446,68.39464883,49.83108108,44.42567568,47.2972973,70.94594595,Elementary,474,68.34170854,89.57983193,91.2605042,50.75630252,76.97478992,Elementary,492,70.81260365,65.26845638,53.3557047,57.71812081,68.62416107
29Q181,40.655674,-73.752948,Elementary,515,44.1580756,55.17241379,70.96219931,30.41237113,35.73883162,Elementary,504,35.65365025,67.52136752,76.58119658,36.06837607,24.44444444,Elementary,384,35.95317726,15.03378378,22.63513514,28.37837838,13.51351351,Elementary,403,52.59631491,4.369747899,7.731092437,3.865546218,5.882352941,Elementary,406,49.41956882,3.859060403,12.58389262,1.006711409,19.46308725
12X480,40.823124,-73.898265,,,,,,,,HST,393,21.21212121,14.81481481,3.703703704,25.92592593,44.44444444,HST,366,27.5,65.625,56.25,56.25,71.875,HST,360,15.90909091,48.71794872,43.58974359,46.15384615,58.97435897,HST,335,23.40425532,39.47368421,21.05263158,50,60.52631579
32K291,40.695875,-73.915217,Middle,886,14.46945338,13.14878893,31.29032258,5.78778135,30.44871795,Middle,830,16.27218935,48.11320755,63.20754717,19.49685535,43.08176101,Middle,686,16.03498542,13.06990881,10.3343465,32.52279635,69.30091185,Middle,658,38.52459016,23.0994152,26.60818713,12.86549708,26.60818713,Middle,653,42.82051282,12.81337047,28.6908078,6.406685237,3.899721448
05M197,40.813532,-73.938347,Elementary,572,43.12714777,54.48275862,71.64948454,20.4467354,7.731958763,Elementary,556,33.95585739,5.47008547,6.324786325,8.717948718,8.376068376,Elementary,474,34.28093645,81.58783784,83.27702703,54.39189189,34.7972973,Elementary,354,36.85092127,72.26890756,64.3697479,61.51260504,73.1092437,Elementary,357,33.83084577,0.503355705,0.503355705,4.194630872,46.6442953
05M194,40.821208,-73.941111,Elementary,338,31.78694158,2.068965517,9.450171821,5.498281787,0.687285223,Elementary,295,15.28013582,2.905982906,8.888888889,1.367521368,4.957264957,Elementary,280,15.55183946,23.14189189,58.27702703,0.506756757,23.64864865,Elementary,282,7.70519263,27.73109244,51.93277311,3.865546218,9.243697479,Elementary,290,2.32172471,5.033557047,19.12751678,1.006711409,0.33557047
05M195,40.819793,-73.956814,Middle,909,28.29581994,37.71626298,56.77419355,15.75562701,39.74358974,Middle,733,36.98224852,27.98742138,30.50314465,31.13207547,38.99371069,Middle,634,37.90087464,19.14893617,28.2674772,30.09118541,23.10030395,Middle,552,20.76502732,6.725146199,9.649122807,12.86549708,9.356725146,Middle,399,3.333333333,,,,
10X342,40.869061,-73.897066,Middle,270,0.933164203,70.24221453,89.79925027,1.607717042,90.84627147,High School Combination,663,10.29585799,69.81132075,89.62264151,0.943396226,84.90566038,High School Combination,499,9.896808347,80.33287577,86.94823022,56.23100304,80.1588391,High School Combination,510,25.66906571,50.54956669,67.8521102,5.829458184,91.84897485,High School Combination,558,35.68627451,63.1783401,55.59494244,36.37320871,82.09551297
10X340,40.869407,-73.897171,Elementary,550,37.11340206,72.93103448,48.45360825,70.4467354,98.96907216,Elementary,528,28.69269949,50.76923077,29.91452991,71.45299145,93.5042735,Elementary,481,29.09698997,81.08108108,73.14189189,58.78378378,94.93243243,Elementary,508,26.29815745,60.33613445,56.30252101,42.68907563,82.68907563,Elementary,542,30.01658375,20.97315436,13.9261745,30.70469799,92.28187919
20K205,40.614737,-73.986792,Elementary,960,75.08591065,16.37931034,13.40206186,51.37457045,32.64604811,Elementary,940,74.19354839,65.64102564,71.11111111,32.47863248,33.16239316,Elementary,847,74.41471572,61.48648649,63.17567568,30.91216216,12.5,Elementary,818,71.69179229,73.78151261,70.42016807,57.64705882,27.22689076,Elementary,840,72.8026534,83.55704698,88.42281879,56.7114094,23.99328859
10X344,40.883049,-73.891664,,,,,,,,,,,,,,,,,,,,,,Elementary,130,82.4120603,,,,,Elementary,151,84.74295191,6.879194631,8.22147651,40.77181208,19.46308725
